,0,1,2,3,4,5,6,7,8,9,mean,std
0,4881,4881,4881,4881,4881,4881,4881,4881,4881,4881,4881.0,0.0
1,6887,6887,6887,6887,6887,6887,6887,6887,6887,6887,6887.0,0.0
2,15166,15166,15166,15166,15166,15166,15166,15166,15166,15166,15166.0,0.0
3,88303,88303,88303,88303,88303,88303,88303,88303,88303,88303,88303.0,0.0
4,942638,942638,942638,942638,942638,942638,942638,942638,942638,942638,942638.0,0.0
5,13375955,13375955,13375955,13375955,13375955,13375955,13375955,13375955,13375955,13375955,13375955.0,0.0
6,229554982,229554982,229554982,229554982,229554982,229554982,229554982,229554982,229554982,229554982,229554982.0,0.0
