,0,1,2,3,4,5,6,7,8,9,mean,std
0,0.0025369999999999998,0.0013629999999999998,0.0012259999999999999,0.001709,0.0015869999999999999,0.001416,0.002274,0.0027649999999999997,0.001339,0.0027589999999999997,0.0018975000000000003,0.0005880272527698015
1,0.0018039999999999998,0.0023179999999999997,0.003198,0.002293,0.001232,0.0009939999999999999,0.00137,0.0014939999999999999,0.001862,0.0014889999999999999,0.0018054,0.000617807607593173
2,0.0017909999999999998,0.002363,0.0019509999999999998,0.001668,0.0018009999999999999,0.001896,0.001312,0.001454,0.0016519999999999998,0.0025239999999999998,0.0018411999999999999,0.00035404203140305246
3,0.0020499999999999997,0.0018189999999999999,0.002624,0.001518,0.0022359999999999997,0.001357,0.0015869999999999999,0.0018889999999999998,0.001725,0.001883,0.0018687999999999999,0.00035016790258388905
4,0.001973,0.002247,0.002704,0.001645,0.0016359999999999999,0.00165,0.001108,0.001292,0.001481,0.002155,0.0017891,0.0004564976341669253
5,0.002323,0.00209,0.002461,0.003779,0.002787,0.0020469999999999998,0.001987,0.002299,0.001808,0.00216,0.0023740999999999996,0.0005351537068917677
6,0.002372,0.0030659999999999997,0.003292,0.002646,0.001893,0.002593,0.003204,0.003414,0.0019019999999999998,0.001686,0.0026068000000000003,0.0005999639655846007
7,0.007214,0.006451,0.005913,0.004301,0.006991,0.003361,0.005697,0.004894,0.003319,0.005474,0.0053615,0.0013122663030040818
8,0.015889,0.013987999999999999,0.010931999999999999,0.00941,0.010225999999999999,0.011393,0.011372,0.009446999999999999,0.009741,0.010947,0.011334499999999999,0.0019782794165637977
9,0.046457,0.039619,0.036218,0.039993999999999995,0.034782,0.033166,0.03324,0.031585999999999996,0.030373999999999998,0.041879,0.0367315,0.00485721360967376
10,0.5015229999999999,0.315307,0.5165339999999999,0.607899,0.28168299999999996,0.5605629999999999,0.301329,0.308319,0.27499599999999996,0.269343,0.3937495999999999,0.12826119025582133
11,3.160383,2.86124,2.655368,2.714641,2.6257989999999998,3.211848,2.981007,2.76824,2.732288,2.935512,2.8646326,0.19409855769902049
12,0.002254,0.002443,0.000877,0.0008039999999999999,0.001111,0.000841,0.0007459999999999999,0.000725,0.0006969999999999999,0.000708,0.0011206,0.000625913923794638
13,0.001334,0.001268,0.001106,0.001135,0.000798,0.001717,0.000945,0.0008619999999999999,0.000741,0.0007239999999999999,0.0010630000000000001,0.00029889295742790593
14,0.001122,0.000759,0.0006929999999999999,0.000659,0.000663,0.000772,0.000699,0.000667,0.000794,0.001156,0.0007983999999999998,0.00017631914246615422
